tmc_code,measurement_tstamp,speed,reference_speed,travel_time_seconds,confidence
107-13366,2025-02-28 16:00:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 16:01:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 16:02:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 16:03:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 16:04:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:05:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:06:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 16:07:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:08:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:09:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:10:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:11:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:12:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:13:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:14:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:15:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:16:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:17:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:18:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:19:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:20:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:21:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:22:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 16:23:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 16:24:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 16:25:00,12.0,21.0,75.24,0.99
107-13366,2025-02-28 16:26:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 16:27:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:28:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:29:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:30:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:31:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:32:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:33:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:34:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:35:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:36:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:37:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:38:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:39:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 16:40:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 16:41:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 16:42:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:43:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:44:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:45:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:46:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:47:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:48:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:49:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:50:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 16:51:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:52:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:53:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:54:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 16:55:00,5.0,21.0,180.57,0.99
107-13366,2025-02-28 16:56:00,5.0,21.0,180.57,0.99
107-13366,2025-02-28 16:57:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 16:58:00,7.0,21.0,128.98,0.99
107-13366,2025-02-28 16:59:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:00:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 17:01:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:02:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:03:00,7.0,21.0,128.98,0.99
107-13366,2025-02-28 17:04:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:05:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:06:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 17:07:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:08:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 17:09:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:10:00,7.0,21.0,128.98,0.99
107-13366,2025-02-28 17:11:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:12:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:13:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:14:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:15:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:16:00,7.0,21.0,128.98,0.99
107-13366,2025-02-28 17:17:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 17:18:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:19:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:20:00,5.0,21.0,180.57,0.99
107-13366,2025-02-28 17:21:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:22:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:23:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:24:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:25:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:26:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:27:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:28:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:29:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 17:30:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:31:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:32:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 17:33:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:34:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:35:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:36:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:37:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:38:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:39:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:40:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:41:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:42:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:43:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:44:00,6.0,21.0,150.48,0.99
107-13366,2025-02-28 17:45:00,7.0,21.0,128.98,0.99
107-13366,2025-02-28 17:46:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:47:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:48:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:49:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:50:00,7.0,21.0,128.98,0.99
107-13366,2025-02-28 17:51:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:52:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:53:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:54:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 17:55:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 17:56:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 17:57:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 17:58:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 17:59:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 18:00:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:01:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:02:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:03:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:04:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:05:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:06:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:07:00,8.0,21.0,112.86,0.99
107-13366,2025-02-28 18:08:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:09:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:10:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:11:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:12:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:13:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:14:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:15:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 18:16:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:17:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:18:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:19:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:20:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:21:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:22:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:23:00,9.0,21.0,100.32,0.99
107-13366,2025-02-28 18:24:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 18:25:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:26:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:27:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:28:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:29:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:30:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:31:00,12.0,21.0,75.24,0.99
107-13366,2025-02-28 18:32:00,11.0,21.0,82.08,0.99
107-13366,2025-02-28 18:33:00,10.0,21.0,90.29,0.99
107-13366,2025-02-28 18:34:00,12.0,21.0,75.24,0.99
