Node,Time,Name,Value
W064,2025-03-01T15:53:46.22217472Z,env.traffic.count.incoming.left,3
W064,2025-03-01T15:53:46.22217472Z,env.traffic.count.incoming.right,2
W064,2025-03-01T15:53:46.22217472Z,env.traffic.count.incoming.straight,14
W064,2025-03-01T15:53:46.22217472Z,env.traffic.count.outgoing.straight,16
W064,2025-03-01T15:53:46.22217472Z,env.traffic.count.total,35
W064,2025-03-01T15:43:14.931015424Z,env.traffic.count.incoming.left,4
W064,2025-03-01T15:43:14.931015424Z,env.traffic.count.incoming.straight,2
W064,2025-03-01T15:43:14.931015424Z,env.traffic.count.outgoing.straight,1
W064,2025-03-01T15:43:14.931015424Z,env.traffic.count.total,7
W064,2025-03-01T15:34:18.320082432Z,env.traffic.count.incoming.left,3
W064,2025-03-01T15:34:18.320082432Z,env.traffic.count.incoming.right,4
W064,2025-03-01T15:34:18.320082432Z,env.traffic.count.incoming.straight,9
W064,2025-03-01T15:34:18.320082432Z,env.traffic.count.outgoing.straight,21
W064,2025-03-01T15:34:18.320082432Z,env.traffic.count.total,37
W064,2025-03-01T15:24:48.12031232Z,env.traffic.count.incoming.left,6
W064,2025-03-01T15:24:48.12031232Z,env.traffic.count.incoming.right,6
W064,2025-03-01T15:24:48.12031232Z,env.traffic.count.incoming.straight,8
W064,2025-03-01T15:24:48.12031232Z,env.traffic.count.outgoing.straight,15
W064,2025-03-01T15:24:48.12031232Z,env.traffic.count.total,35
W064,2025-03-01T15:15:57.226613504Z,env.traffic.count.incoming.right,1
W064,2025-03-01T15:15:57.226613504Z,env.traffic.count.outgoing.straight,4
W064,2025-03-01T15:15:57.226613504Z,env.traffic.count.total,5
W064,2025-03-01T15:06:37.172659712Z,env.traffic.count.incoming.left,6
W064,2025-03-01T15:06:37.172659712Z,env.traffic.count.outgoing.straight,2
W064,2025-03-01T15:06:37.172659712Z,env.traffic.count.total,8
W064,2025-03-01T14:58:01.41444992Z,env.traffic.count.incoming.left,4
W064,2025-03-01T14:58:01.41444992Z,env.traffic.count.incoming.straight,16
W064,2025-03-01T14:58:01.41444992Z,env.traffic.count.outgoing.straight,14
W064,2025-03-01T14:58:01.41444992Z,env.traffic.count.total,34
W064,2025-03-01T14:48:04.021494272Z,env.traffic.count.incoming.left,7
W064,2025-03-01T14:48:04.021494272Z,env.traffic.count.incoming.right,6
W064,2025-03-01T14:48:04.021494272Z,env.traffic.count.incoming.straight,11
W064,2025-03-01T14:48:04.021494272Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T14:48:04.021494272Z,env.traffic.count.total,29
W064,2025-03-01T14:39:07.869133312Z,env.traffic.count.incoming.right,3
W064,2025-03-01T14:39:07.869133312Z,env.traffic.count.outgoing.straight,5
W064,2025-03-01T14:39:07.869133312Z,env.traffic.count.total,8
